year,number_incidents,fatal_attacks
1791,1,1
1803,1,0
1807,1,0
1820,1,1
1825,1,0
1830,1,0
1832,2,0
1836,3,2
1837,1,1
1839,1,1
1840,1,1
1841,1,1
1847,2,0
1849,3,2
1850,2,1
1853,1,0
1855,4,2
1856,2,0
1858,1,1
1860,1,0
1861,1,0
1862,2,1
1863,4,3
1865,1,1
1868,1,0
1869,2,0
1870,2,0
1872,1,0
1873,1,0
1874,3,0
1875,4,1
1876,6,2
1877,5,1
1878,4,0
1879,2,1
1880,4,2
1881,5,1
1882,5,3
1883,3,2
1884,1,1
1885,2,0
1886,2,0
1887,2,1
1888,2,1
1889,1,1
1890,1,0
1891,2,0
1892,4,1
1893,3,1
1894,1,0
1895,7,4
1896,2,2
1897,2,0
1898,2,0
1899,2,0
1900,5,2
1901,6,1
1902,2,0
1903,4,2
1904,1,0
1905,2,1
1906,4,3
1907,4,2
1909,1,0
1910,4,1
1911,3,1
1912,7,2
1913,5,0
1914,8,1
1915,4,1
1916,8,5
1917,2,0
1918,8,2
1919,5,3
1920,9,1
1921,5,2
1922,5,4
1923,11,5
1924,5,2
1925,3,2
1926,4,2
1927,8,2
1928,8,3
1929,23,9
1930,7,3
1931,6,1
1932,8,1
1933,10,2
1934,14,7
1935,9,4
1936,15,4
1937,10,4
1938,8,2
1939,6,1
1940,8,3
1941,4,1
1942,6,2
1943,1,0
1944,1,0
1945,2,1
1946,8,4
1947,5,1
1948,5,2
1949,11,3
1950,5,2
1951,7,3
1952,5,0
1953,7,0
1954,6,2
1955,4,3
1956,8,2
1957,6,1
1958,7,2
1959,11,2
1960,9,1
1961,11,2
1962,5,1
1963,4,1
1964,5,0
1965,3,0
1966,7,1
1967,2,1
1968,3,0
1969,3,0
1971,3,1
1972,6,0
1973,4,0
1974,3,2
1975,8,3
1976,1,0
1977,6,3
1978,3,0
1979,2,0
1980,6,0
1981,4,0
1982,3,2
1983,5,2
1984,8,1
1985,5,1
1986,5,1
1987,9,2
1988,6,2
1989,14,1
1990,9,1
1991,7,1
1992,6,1
1993,7,3
1994,5,0
1995,11,1
1996,11,0
1997,13,0
1998,8,1
1999,5,1
2000,19,3
2001,13,0
2002,11,2
2003,13,1
2004,23,3
2005,16,2
2006,10,1
2007,17,0
2008,14,2
2009,28,0
2010,14,1
2011,15,5
2012,23,2
2013,15,2
2014,25,5
2015,33,2
2016,31,2
2017,21,1
2018,30,1
2019,24,0
2020,37,8
2021,25,4
2022,22,1
2023,18,4
2024,4,0
